职位名称,位置,薪资,工作年限,联系人,公司名称,公司简介,所需技能,福利Python爬虫工程师,北京·朝阳区·鸟巢,8-13K,1-3年本科,李勇Python采集组长,拓尔思,互联网已上市1000-9999人,网络爬虫技术,餐补，带薪年假，五险一金，交通补助，补充医疗保险，定期体检，通讯补贴
python 爬虫工程师,北京,12-20K·13薪,3-5年本科,刘晓琳HRBP,华如科技,计算机软件已上市1000-9999人,分布式技术 网络爬虫技术 数据结构 Scrapy,餐补，公租房，补充医疗保险，定期体检，年终奖，带薪年假，五险一金，节日福利，股票期权，包吃，免费班车
python初级开发工程师,北京·石景山区·鲁谷,6-11K,1-3年本科,赵勇总裁助理,新纽科技,计算机软件已上市500-999人,python,定期体检，年终奖，带薪年假，五险一金，通讯补贴
python,北京·海淀区·西北旺,15-30K,1-3年本科,周敏毅人事主管,软通动力,计算机软件已上市10000人以上,MongoDB python,定期体检，带薪年假，加班补助，免费班车，节日福利，团建活动，全勤奖，零食下午茶，员工旅游，五险一金
Python工程师,北京·海淀区·西三旗,20-25K·15薪,3-5年本科,郑婷婷HRBP,G7,互联网D轮及以上1000-9999人,数据结构 Linux Redis python,六险一金，节日福利，年终奖，免费班车，带薪年假
高薪急聘Python,北京·朝阳区·来广营,15-30K·13薪,1-3年本科,焦晓云招聘经理,智龙网景,互联网不需要融资20-99人,Django Flask Tornado,节日福利，定期体检，五险一金，年终奖，员工旅游
Python后端开发,北京·海淀区·西北旺,12-20K,3-5年本科,徐先生人事,拓保软件,计算机软件不需要融资1000-9999人,Java,餐补，五险一金，定期体检，带薪年假，全勤奖，零食下午茶，节日福利，加班补助，年终奖，免费班车，员工旅游
python-AI大数据-公司自研岗位,北京·海淀区·中关村,15-25K·13薪,3-5年本科,王洋hr,中软国际,计算机软件已上市10000人以上,分布式技术 MySQL Oracle Django Flask,节日福利，定期体检，免费班车，零食下午茶，员工旅游，带薪年假，加班补助，五险一金，餐补，年终奖
python,北京·西城区·动物园,15-30K,5-10年本科,夏露HR,奇安信集团,信息安全已上市1000-9999人,Python C++ GRPC kafka shell redis,股票期权，带薪年假，五险一金，零食下午茶，补充医疗保险，节日福利，通讯补贴，年终奖，定期体检，餐补，交通补助
python工程师,北京·东城区·安定门,11-18K,3-5年大专,刘先生招聘者,中电金信,计算机软件不需要融资10000人以上,Go SQL Redis Django Flask GIT,定期体检，零食下午茶，补充医疗保险，五险一金，节日福利，带薪年假
python——外派中国移动,北京·昌平区·沙河,8-12K,3-5年大专,李新宇HR,同方鼎欣,计算机软件已上市1000-9999人,数据结构 容器技术 Redis MySQL Django,补充医疗保险，五险一金，节日福利，定期体检，带薪年假，五险一金
Python后端开发,北京·海淀区·西北旺,11-16K,3-5年本科,武女士HR,法本,计算机软件已上市10000人以上,Python,带薪年假，年终奖，员工旅游，节日福利，零食下午茶，五险一金，加班补助，企业文化，定期体检，全勤奖
Python工程师,北京·海淀区·西北旺,11-20K,1-3年本科,刘磊招聘经理,迪普科技,信息安全已上市1000-9999人,Python,通讯补贴，零食下午茶，员工旅游，节日福利，免费班车，交通补助，年终奖，定期体检，住房补贴，补充医疗保险，带薪年假，五险一金，全勤奖，股票期权
Python,北京,7-12K,1-3年大专,王冻经理,中审华会计师事务所,企业服务未融资1000-9999人,人工智能 网络爬虫技术 软件工程师 GIT,五险一金，定期体检，年终奖，带薪年假，通讯补贴，员工旅游，加班补助，节日福利
Python,北京·朝阳区·来广营,15-25K·14薪,1-3年本科,朱女士招聘,一零跃动,互联网不需要融资500-999人,Go SQL Redis PostgreSQL MySQL,定期体检，五险一金，年终奖，补充医疗保险，带薪年假，节日福利，零食下午茶
python后端开发工程师,北京·朝阳区·望京,13-16K,3-5年本科,王亮测绘产品部总监,知道创宇,互联网C轮500-999人,容器技术 Linux python,五险一金，定期体检，补充医疗保险，零食下午茶，全勤奖，带薪年假，年终奖，节日福利，交通补助，通讯补贴，员工旅游，餐补
高级Python研发工程师,北京·朝阳区·望京,40-45K·16薪,5-10年本科,孙浩HR,阿里巴巴集团,互联网已上市10000人以上,Python Go 搜索引擎技术 Web端 全栈开发,补充医疗保险，交通补助，带薪年假，股票期权，免费班车，定期体检，餐补，年终奖，节日福利，员工旅游，加班补助，五险一金
Python,北京,5-10K,经验不限大专,韩钦政教学主管,北京乐博乐博,在线教育不需要融资1000-9999人,Python 机器人 积木 scratch 单片机 编程,员工旅游，股票期权，五险一金，通讯补贴，年终奖，节日福利，带薪年假，免费班车
初级python后端开发工程师（北京）,北京·海淀区·西北旺,7-12K,1-3年本科,曹雯博招聘专员,法本,计算机软件已上市10000人以上,Framework Python openstack ansible MySQL,员工旅游，加班补助，五险一金，企业文化，零食下午茶，节日福利，年终奖，全勤奖，带薪年假，定期体检
Python,北京·朝阳区·奥运村,16-24K,1-3年本科,徐扬技术经理,途游游戏,游戏D轮及以上500-999人,游戏 软件工程师 Redis,年终奖，定期体检，带薪年假，餐补，股票期权，五险一金，零食下午茶，全勤奖，交通补助，员工旅游，节日福利
Python爬虫工程师,北京·朝阳区·鸟巢,8-13K,1-3年本科,李勇Python采集组长,拓尔思,互联网已上市1000-9999人,网络爬虫技术,餐补，带薪年假，五险一金，交通补助，补充医疗保险，定期体检，通讯补贴
Python（业研）,北京·海淀区·西三旗,13-17K,1-3年本科,杨凡招聘专员,艾融软件,互联网已上市1000-9999人,网络爬虫技术 容器技术 服务器配置 Redis Django,加班补助，五险一金，员工旅游，带薪年假，交通补助，节日福利
python运维开发工程师,北京·朝阳区·望京,15-25K·14薪,3-5年本科,刘鹏运维经理,人人车,互联网D轮及以上1000-9999人,运维 自动化,节日福利，带薪年假，五险一金，餐补，定期体检，股票期权，加班补助，补充医疗保险，零食下午茶，年终奖
python工程师,北京·海淀区·西三旗,18-28K·15薪,3-5年本科,赵彬招聘经理,G7,互联网D轮及以上1000-9999人,数据结构 Linux Redis 架构师 数据分析,年终奖，带薪年假，六险一金，节日福利，免费班车
python工程师/移动,北京·昌平区·沙河,10-13K,3-5年大专,何先生招聘经理,ASDC,计算机软件已上市1000-9999人,数据结构 容器技术 Redis MySQL Django,带薪年假，免费班车，五险一金，补充医疗保险，加班补助，定期体检
python讲师,北京·朝阳区·太阳宫,35-40K,3-5年本科,陈辛招聘者,BOSS直聘,人力资源服务已上市1000-9999人,图形图像处理 算法基础 数据结构 python,带薪年假，员工旅游，股票期权，加班补助，年终奖，定期体检，五险一金，补充医疗保险，住房补贴，交通补助，餐补，节日福利
高级python工程师（公司直聘·研发岗）,北京·海淀区·学院路,18-30K·13薪,3-5年本科,赵仁保PM,新纽科技,计算机软件已上市500-999人,服务器配置 Linux Redis MongoDB eletron,定期体检，通讯补贴，带薪年假，五险一金，年终奖
爬虫python工程师,北京·朝阳区·三元桥,20-40K·14薪,5-10年本科,陆明技术总监,国美控股集团,互联网不需要融资10000人以上,Python 爬虫工程师 网络爬虫技术,年终奖，餐补，员工旅游，定期体检，节日福利，带薪年假，五险一金，加班补助，通讯补贴
python,北京·昌平区·沙河,10-12K,3-5年大专,周鹤招聘专员,同方鼎欣,计算机软件已上市1000-9999人,MySQL Django Flask,五险一金，五险一金，定期体检，带薪年假，节日福利，补充医疗保险
python工程师,北京·朝阳区·来广营,12-22K,3-5年本科,于晓兰HRBP,大连华信计算机,计算机软件已上市1000-9999人,数据结构 MVC开发 MySQL Django Flask,定期体检，节日福利，免费班车，五险一金，加班补助，带薪年假，补充医疗保险，年终奖
python,北京·朝阳区·左家庄,11-18K,1-3年本科,朱女士招聘主管,睿服科技,计算机软件不需要融资1000-9999人,SQL 分布式技术 容器技术 多线程 服务器配置,加班补助，定期体检，补充医疗保险，年终奖，零食下午茶，带薪年假，节日福利，全勤奖，员工旅游，五险一金
Python工程师--外派腾讯,北京·海淀区·西北旺,12-15K·13薪,1-3年本科,袁女士招聘主管,博彦科技,计算机软件已上市1000-9999人,PostgreSQL MySQL,年终奖，带薪年假，节日福利，定期体检，五险一金，免费班车
Python,北京·朝阳区·望京,18-25K·14薪,1-3年本科,严凯HRBP,人惠人力资源,其他服务业已上市10000人以上,Django Flask Tornado,股票期权，全勤奖，加班补助，员工旅游，五险一金，带薪年假，节日福利，餐补
python 爬虫工程师,北京,12-20K·13薪,3-5年本科,刘晓琳HRBP,华如科技,计算机软件已上市1000-9999人,分布式技术 网络爬虫技术 数据结构 Scrapy,餐补，公租房，补充医疗保险，定期体检，年终奖，带薪年假，五险一金，节日福利，股票期权，包吃，免费班车
python初级开发工程师,北京·石景山区·鲁谷,6-11K,1-3年本科,赵勇总裁助理,新纽科技,计算机软件已上市500-999人,python,定期体检，年终奖，带薪年假，五险一金，通讯补贴
python,北京·海淀区·西北旺,15-30K,1-3年本科,周敏毅人事主管,软通动力,计算机软件已上市10000人以上,MongoDB python,定期体检，带薪年假，加班补助，免费班车，节日福利，团建活动，全勤奖，零食下午茶，员工旅游，五险一金
Python工程师,北京·海淀区·西三旗,20-25K·15薪,3-5年本科,郑婷婷HRBP,G7,互联网D轮及以上1000-9999人,数据结构 Linux Redis python,六险一金，节日福利，年终奖，免费班车，带薪年假
高薪急聘Python,北京·朝阳区·来广营,15-30K·13薪,1-3年本科,焦晓云招聘经理,智龙网景,互联网不需要融资20-99人,Django Flask Tornado,节日福利，定期体检，五险一金，年终奖，员工旅游
Python后端开发,北京·海淀区·西北旺,12-20K,3-5年本科,徐先生人事,拓保软件,计算机软件不需要融资1000-9999人,Java,餐补，五险一金，定期体检，带薪年假，全勤奖，零食下午茶，节日福利，加班补助，年终奖，免费班车，员工旅游
python-AI大数据-公司自研岗位,北京·海淀区·中关村,15-25K·13薪,3-5年本科,王洋hr,中软国际,计算机软件已上市10000人以上,分布式技术 MySQL Oracle Django Flask,节日福利，定期体检，免费班车，零食下午茶，员工旅游，带薪年假，加班补助，五险一金，餐补，年终奖
python,北京·西城区·动物园,15-30K,5-10年本科,夏露HR,奇安信集团,信息安全已上市1000-9999人,Python C++ GRPC kafka shell redis,股票期权，带薪年假，五险一金，零食下午茶，补充医疗保险，节日福利，通讯补贴，年终奖，定期体检，餐补，交通补助
python工程师,北京·东城区·安定门,11-18K,3-5年大专,刘先生招聘者,中电金信,计算机软件不需要融资10000人以上,Go SQL Redis Django Flask GIT,定期体检，零食下午茶，补充医疗保险，五险一金，节日福利，带薪年假
python——外派中国移动,北京·昌平区·沙河,8-12K,3-5年大专,李新宇HR,同方鼎欣,计算机软件已上市1000-9999人,数据结构 容器技术 Redis MySQL Django,补充医疗保险，五险一金，节日福利，定期体检，带薪年假，五险一金
Python后端开发,北京·海淀区·西北旺,11-16K,3-5年本科,武女士HR,法本,计算机软件已上市10000人以上,Python,带薪年假，年终奖，员工旅游，节日福利，零食下午茶，五险一金，加班补助，企业文化，定期体检，全勤奖
Python工程师,北京·海淀区·西北旺,11-20K,1-3年本科,刘磊招聘经理,迪普科技,信息安全已上市1000-9999人,Python,通讯补贴，零食下午茶，员工旅游，节日福利，免费班车，交通补助，年终奖，定期体检，住房补贴，补充医疗保险，带薪年假，五险一金，全勤奖，股票期权
Python,北京,7-12K,1-3年大专,王冻经理,中审华会计师事务所,企业服务未融资1000-9999人,人工智能 网络爬虫技术 软件工程师 GIT,五险一金，定期体检，年终奖，带薪年假，通讯补贴，员工旅游，加班补助，节日福利
Python,北京·朝阳区·来广营,15-25K·14薪,1-3年本科,朱女士招聘,一零跃动,互联网不需要融资500-999人,Go SQL Redis PostgreSQL MySQL,定期体检，五险一金，年终奖，补充医疗保险，带薪年假，节日福利，零食下午茶
python后端开发工程师,北京·朝阳区·望京,13-16K,3-5年本科,王亮测绘产品部总监,知道创宇,互联网C轮500-999人,容器技术 Linux python,五险一金，定期体检，补充医疗保险，零食下午茶，全勤奖，带薪年假，年终奖，节日福利，交通补助，通讯补贴，员工旅游，餐补
高级Python研发工程师,北京·朝阳区·望京,40-45K·16薪,5-10年本科,孙浩HR,阿里巴巴集团,互联网已上市10000人以上,Python Go 搜索引擎技术 Web端 全栈开发,补充医疗保险，交通补助，带薪年假，股票期权，免费班车，定期体检，餐补，年终奖，节日福利，员工旅游，加班补助，五险一金
资深Python/Golang工程师/专家-弹性计算,北京·朝阳区·望京,40-60K,5-10年本科,赵昱高级技术专家,阿里云,互联网已上市10000人以上,Python golang 后端开发,餐补，年终奖，员工旅游，定期体检，免费班车，补充医疗保险，五险一金，股票期权，带薪年假
Python,北京·朝阳区·奥运村,16-24K,1-3年本科,徐扬技术经理,途游游戏,游戏D轮及以上500-999人,游戏 软件工程师 Redis,年终奖，定期体检，带薪年假，餐补，股票期权，五险一金，零食下午茶，全勤奖，交通补助，员工旅游，节日福利
Python爬虫工程师,北京·朝阳区·鸟巢,8-13K,1-3年本科,李勇Python采集组长,拓尔思,互联网已上市1000-9999人,网络爬虫技术,餐补，带薪年假，五险一金，交通补助，补充医疗保险，定期体检，通讯补贴
Python（业研）,北京·海淀区·西三旗,13-17K,1-3年本科,杨凡招聘专员,艾融软件,互联网已上市1000-9999人,网络爬虫技术 容器技术 服务器配置 Redis Django,加班补助，五险一金，员工旅游，带薪年假，交通补助，节日福利
python运维开发工程师,北京·朝阳区·望京,15-25K·14薪,3-5年本科,刘鹏运维经理,人人车,互联网D轮及以上1000-9999人,运维 自动化,节日福利，带薪年假，五险一金，餐补，定期体检，股票期权，加班补助，补充医疗保险，零食下午茶，年终奖
python工程师,北京·海淀区·西三旗,18-28K·15薪,3-5年本科,赵彬招聘经理,G7,互联网D轮及以上1000-9999人,数据结构 Linux Redis 架构师 数据分析,年终奖，带薪年假，六险一金，节日福利，免费班车
python工程师/移动,北京·昌平区·沙河,10-13K,3-5年大专,何先生招聘经理,ASDC,计算机软件已上市1000-9999人,数据结构 容器技术 Redis MySQL Django,带薪年假，免费班车，五险一金，补充医疗保险，加班补助，定期体检
python讲师,北京·朝阳区·太阳宫,35-40K,3-5年本科,陈辛招聘者,BOSS直聘,人力资源服务已上市1000-9999人,图形图像处理 算法基础 数据结构 python,带薪年假，员工旅游，股票期权，加班补助，年终奖，定期体检，五险一金，补充医疗保险，住房补贴，交通补助，餐补，节日福利
高级python工程师（公司直聘·研发岗）,北京·海淀区·学院路,18-30K·13薪,3-5年本科,赵仁保PM,新纽科技,计算机软件已上市500-999人,服务器配置 Linux Redis MongoDB eletron,定期体检，通讯补贴，带薪年假，五险一金，年终奖
爬虫python工程师,北京·朝阳区·三元桥,20-40K·14薪,5-10年本科,陆明技术总监,国美控股集团,互联网不需要融资10000人以上,Python 爬虫工程师 网络爬虫技术,年终奖，餐补，员工旅游，定期体检，节日福利，带薪年假，五险一金，加班补助，通讯补贴
python,北京·昌平区·沙河,10-12K,3-5年大专,周鹤招聘专员,同方鼎欣,计算机软件已上市1000-9999人,MySQL Django Flask,五险一金，五险一金，定期体检，带薪年假，节日福利，补充医疗保险
python工程师,北京·朝阳区·来广营,12-22K,3-5年本科,于晓兰HRBP,大连华信计算机,计算机软件已上市1000-9999人,数据结构 MVC开发 MySQL Django Flask,定期体检，节日福利，免费班车，五险一金，加班补助，带薪年假，补充医疗保险，年终奖
python,北京·朝阳区·左家庄,11-18K,1-3年本科,朱女士招聘主管,睿服科技,计算机软件不需要融资1000-9999人,SQL 分布式技术 容器技术 多线程 服务器配置,加班补助，定期体检，补充医疗保险，年终奖，零食下午茶，带薪年假，节日福利，全勤奖，员工旅游，五险一金
Python工程师--外派腾讯,北京·海淀区·西北旺,12-15K·13薪,1-3年本科,袁女士招聘主管,博彦科技,计算机软件已上市1000-9999人,PostgreSQL MySQL,年终奖，带薪年假，节日福利，定期体检，五险一金，免费班车
Python,北京·朝阳区·望京,18-25K·14薪,1-3年本科,严凯HRBP,人惠人力资源,其他服务业已上市10000人以上,Django Flask Tornado,股票期权，全勤奖，加班补助，员工旅游，五险一金，带薪年假，节日福利，餐补
python 爬虫工程师,北京,12-20K·13薪,3-5年本科,刘晓琳HRBP,华如科技,计算机软件已上市1000-9999人,分布式技术 网络爬虫技术 数据结构 Scrapy,餐补，公租房，补充医疗保险，定期体检，年终奖，带薪年假，五险一金，节日福利，股票期权，包吃，免费班车
python初级开发工程师,北京·石景山区·鲁谷,6-11K,1-3年本科,赵勇总裁助理,新纽科技,计算机软件已上市500-999人,python,定期体检，年终奖，带薪年假，五险一金，通讯补贴
python,北京·海淀区·西北旺,15-30K,1-3年本科,周敏毅人事主管,软通动力,计算机软件已上市10000人以上,MongoDB python,定期体检，带薪年假，加班补助，免费班车，节日福利，团建活动，全勤奖，零食下午茶，员工旅游，五险一金
Python工程师,北京·海淀区·西三旗,20-25K·15薪,3-5年本科,郑婷婷HRBP,G7,互联网D轮及以上1000-9999人,数据结构 Linux Redis python,六险一金，节日福利，年终奖，免费班车，带薪年假
高薪急聘Python,北京·朝阳区·来广营,15-30K·13薪,1-3年本科,焦晓云招聘经理,智龙网景,互联网不需要融资20-99人,Django Flask Tornado,节日福利，定期体检，五险一金，年终奖，员工旅游
Python后端开发,北京·海淀区·西北旺,12-20K,3-5年本科,徐先生人事,拓保软件,计算机软件不需要融资1000-9999人,Java,餐补，五险一金，定期体检，带薪年假，全勤奖，零食下午茶，节日福利，加班补助，年终奖，免费班车，员工旅游
python-AI大数据-公司自研岗位,北京·海淀区·中关村,15-25K·13薪,3-5年本科,王洋hr,中软国际,计算机软件已上市10000人以上,分布式技术 MySQL Oracle Django Flask,节日福利，定期体检，免费班车，零食下午茶，员工旅游，带薪年假，加班补助，五险一金，餐补，年终奖
python,北京·西城区·动物园,15-30K,5-10年本科,夏露HR,奇安信集团,信息安全已上市1000-9999人,Python C++ GRPC kafka shell redis,股票期权，带薪年假，五险一金，零食下午茶，补充医疗保险，节日福利，通讯补贴，年终奖，定期体检，餐补，交通补助
python工程师,北京·东城区·安定门,11-18K,3-5年大专,刘先生招聘者,中电金信,计算机软件不需要融资10000人以上,Go SQL Redis Django Flask GIT,定期体检，零食下午茶，补充医疗保险，五险一金，节日福利，带薪年假
python——外派中国移动,北京·昌平区·沙河,8-12K,3-5年大专,李新宇HR,同方鼎欣,计算机软件已上市1000-9999人,数据结构 容器技术 Redis MySQL Django,补充医疗保险，五险一金，节日福利，定期体检，带薪年假，五险一金
Python后端开发,北京·海淀区·西北旺,11-16K,3-5年本科,武女士HR,法本,计算机软件已上市10000人以上,Python,带薪年假，年终奖，员工旅游，节日福利，零食下午茶，五险一金，加班补助，企业文化，定期体检，全勤奖
Python工程师,北京·海淀区·西北旺,11-20K,1-3年本科,刘磊招聘经理,迪普科技,信息安全已上市1000-9999人,Python,通讯补贴，零食下午茶，员工旅游，节日福利，免费班车，交通补助，年终奖，定期体检，住房补贴，补充医疗保险，带薪年假，五险一金，全勤奖，股票期权
Python,北京,7-12K,1-3年大专,王冻经理,中审华会计师事务所,企业服务未融资1000-9999人,人工智能 网络爬虫技术 软件工程师 GIT,五险一金，定期体检，年终奖，带薪年假，通讯补贴，员工旅游，加班补助，节日福利
Python,北京·朝阳区·来广营,15-25K·14薪,1-3年本科,朱女士招聘,一零跃动,互联网不需要融资500-999人,Go SQL Redis PostgreSQL MySQL,定期体检，五险一金，年终奖，补充医疗保险，带薪年假，节日福利，零食下午茶
python后端开发工程师,北京·朝阳区·望京,13-16K,3-5年本科,王亮测绘产品部总监,知道创宇,互联网C轮500-999人,容器技术 Linux python,五险一金，定期体检，补充医疗保险，零食下午茶，全勤奖，带薪年假，年终奖，节日福利，交通补助，通讯补贴，员工旅游，餐补
Python,北京·朝阳区·奥运村,16-24K,1-3年本科,徐扬技术经理,途游游戏,游戏D轮及以上500-999人,游戏 软件工程师 Redis,年终奖，定期体检，带薪年假，餐补，股票期权，五险一金，零食下午茶，全勤奖，交通补助，员工旅游，节日福利
Python爬虫工程师,北京·朝阳区·鸟巢,8-13K,1-3年本科,李勇Python采集组长,拓尔思,互联网已上市1000-9999人,网络爬虫技术,餐补，带薪年假，五险一金，交通补助，补充医疗保险，定期体检，通讯补贴
Python（业研）,北京·海淀区·西三旗,13-17K,1-3年本科,杨凡招聘专员,艾融软件,互联网已上市1000-9999人,网络爬虫技术 容器技术 服务器配置 Redis Django,加班补助，五险一金，员工旅游，带薪年假，交通补助，节日福利
python运维开发工程师,北京·朝阳区·望京,15-25K·14薪,3-5年本科,刘鹏运维经理,人人车,互联网D轮及以上1000-9999人,运维 自动化,节日福利，带薪年假，五险一金，餐补，定期体检，股票期权，加班补助，补充医疗保险，零食下午茶，年终奖
python工程师,北京·海淀区·西三旗,18-28K·15薪,3-5年本科,赵彬招聘经理,G7,互联网D轮及以上1000-9999人,数据结构 Linux Redis 架构师 数据分析,年终奖，带薪年假，六险一金，节日福利，免费班车
python工程师/移动,北京·昌平区·沙河,10-13K,3-5年大专,何先生招聘经理,ASDC,计算机软件已上市1000-9999人,数据结构 容器技术 Redis MySQL Django,带薪年假，免费班车，五险一金，补充医疗保险，加班补助，定期体检
python讲师,北京·朝阳区·太阳宫,35-40K,3-5年本科,陈辛招聘者,BOSS直聘,人力资源服务已上市1000-9999人,图形图像处理 算法基础 数据结构 python,带薪年假，员工旅游，股票期权，加班补助，年终奖，定期体检，五险一金，补充医疗保险，住房补贴，交通补助，餐补，节日福利
高级python工程师（公司直聘·研发岗）,北京·海淀区·学院路,18-30K·13薪,3-5年本科,赵仁保PM,新纽科技,计算机软件已上市500-999人,服务器配置 Linux Redis MongoDB eletron,定期体检，通讯补贴，带薪年假，五险一金，年终奖
爬虫python工程师,北京·朝阳区·三元桥,20-40K·14薪,5-10年本科,陆明技术总监,国美控股集团,互联网不需要融资10000人以上,Python 爬虫工程师 网络爬虫技术,年终奖，餐补，员工旅游，定期体检，节日福利，带薪年假，五险一金，加班补助，通讯补贴
python,北京·昌平区·沙河,10-12K,3-5年大专,周鹤招聘专员,同方鼎欣,计算机软件已上市1000-9999人,MySQL Django Flask,五险一金，五险一金，定期体检，带薪年假，节日福利，补充医疗保险
python工程师,北京·朝阳区·来广营,12-22K,3-5年本科,于晓兰HRBP,大连华信计算机,计算机软件已上市1000-9999人,数据结构 MVC开发 MySQL Django Flask,定期体检，节日福利，免费班车，五险一金，加班补助，带薪年假，补充医疗保险，年终奖
python,北京·朝阳区·左家庄,11-18K,1-3年本科,朱女士招聘主管,睿服科技,计算机软件不需要融资1000-9999人,SQL 分布式技术 容器技术 多线程 服务器配置,加班补助，定期体检，补充医疗保险，年终奖，零食下午茶，带薪年假，节日福利，全勤奖，员工旅游，五险一金
Python工程师--外派腾讯,北京·海淀区·西北旺,12-15K·13薪,1-3年本科,袁女士招聘主管,博彦科技,计算机软件已上市1000-9999人,PostgreSQL MySQL,年终奖，带薪年假，节日福利，定期体检，五险一金，免费班车
Python,北京·朝阳区·望京,18-25K·14薪,1-3年本科,严凯HRBP,人惠人力资源,其他服务业已上市10000人以上,Django Flask Tornado,股票期权，全勤奖，加班补助，员工旅游，五险一金，带薪年假，节日福利，餐补
python 爬虫工程师,北京,12-20K·13薪,3-5年本科,刘晓琳HRBP,华如科技,计算机软件已上市1000-9999人,分布式技术 网络爬虫技术 数据结构 Scrapy,餐补，公租房，补充医疗保险，定期体检，年终奖，带薪年假，五险一金，节日福利，股票期权，包吃，免费班车
python初级开发工程师,北京·石景山区·鲁谷,6-11K,1-3年本科,赵勇总裁助理,新纽科技,计算机软件已上市500-999人,python,定期体检，年终奖，带薪年假，五险一金，通讯补贴
python,北京·海淀区·西北旺,15-30K,1-3年本科,周敏毅人事主管,软通动力,计算机软件已上市10000人以上,MongoDB python,定期体检，带薪年假，加班补助，免费班车，节日福利，团建活动，全勤奖，零食下午茶，员工旅游，五险一金
Python工程师,北京·海淀区·西三旗,20-25K·15薪,3-5年本科,郑婷婷HRBP,G7,互联网D轮及以上1000-9999人,数据结构 Linux Redis python,六险一金，节日福利，年终奖，免费班车，带薪年假
高薪急聘Python,北京·朝阳区·来广营,15-30K·13薪,1-3年本科,焦晓云招聘经理,智龙网景,互联网不需要融资20-99人,Django Flask Tornado,节日福利，定期体检，五险一金，年终奖，员工旅游
Python后端开发,北京·海淀区·西北旺,12-20K,3-5年本科,徐先生人事,拓保软件,计算机软件不需要融资1000-9999人,Java,餐补，五险一金，定期体检，带薪年假，全勤奖，零食下午茶，节日福利，加班补助，年终奖，免费班车，员工旅游
python-AI大数据-公司自研岗位,北京·海淀区·中关村,15-25K·13薪,3-5年本科,王洋hr,中软国际,计算机软件已上市10000人以上,分布式技术 MySQL Oracle Django Flask,节日福利，定期体检，免费班车，零食下午茶，员工旅游，带薪年假，加班补助，五险一金，餐补，年终奖
python,北京·西城区·动物园,15-30K,5-10年本科,夏露HR,奇安信集团,信息安全已上市1000-9999人,Python C++ GRPC kafka shell redis,股票期权，带薪年假，五险一金，零食下午茶，补充医疗保险，节日福利，通讯补贴，年终奖，定期体检，餐补，交通补助
python工程师,北京·东城区·安定门,11-18K,3-5年大专,刘先生招聘者,中电金信,计算机软件不需要融资10000人以上,Go SQL Redis Django Flask GIT,定期体检，零食下午茶，补充医疗保险，五险一金，节日福利，带薪年假
python——外派中国移动,北京·昌平区·沙河,8-12K,3-5年大专,李新宇HR,同方鼎欣,计算机软件已上市1000-9999人,数据结构 容器技术 Redis MySQL Django,补充医疗保险，五险一金，节日福利，定期体检，带薪年假，五险一金
Python后端开发,北京·海淀区·西北旺,11-16K,3-5年本科,武女士HR,法本,计算机软件已上市10000人以上,Python,带薪年假，年终奖，员工旅游，节日福利，零食下午茶，五险一金，加班补助，企业文化，定期体检，全勤奖
Python工程师,北京·海淀区·西北旺,11-20K,1-3年本科,刘磊招聘经理,迪普科技,信息安全已上市1000-9999人,Python,通讯补贴，零食下午茶，员工旅游，节日福利，免费班车，交通补助，年终奖，定期体检，住房补贴，补充医疗保险，带薪年假，五险一金，全勤奖，股票期权
Python,北京,7-12K,1-3年大专,王冻经理,中审华会计师事务所,企业服务未融资1000-9999人,人工智能 网络爬虫技术 软件工程师 GIT,五险一金，定期体检，年终奖，带薪年假，通讯补贴，员工旅游，加班补助，节日福利
Python,北京·朝阳区·来广营,15-25K·14薪,1-3年本科,朱女士招聘,一零跃动,互联网不需要融资500-999人,Go SQL Redis PostgreSQL MySQL,定期体检，五险一金，年终奖，补充医疗保险，带薪年假，节日福利，零食下午茶
python后端开发工程师,北京·朝阳区·望京,13-16K,3-5年本科,王亮测绘产品部总监,知道创宇,互联网C轮500-999人,容器技术 Linux python,五险一金，定期体检，补充医疗保险，零食下午茶，全勤奖，带薪年假，年终奖，节日福利，交通补助，通讯补贴，员工旅游，餐补
高级Python研发工程师,北京·朝阳区·望京,40-45K·16薪,5-10年本科,孙浩HR,阿里巴巴集团,互联网已上市10000人以上,Python Go 搜索引擎技术 Web端 全栈开发,补充医疗保险，交通补助，带薪年假，股票期权，免费班车，定期体检，餐补，年终奖，节日福利，员工旅游，加班补助，五险一金
Python,北京·朝阳区·奥运村,16-24K,1-3年本科,徐扬技术经理,途游游戏,游戏D轮及以上500-999人,游戏 软件工程师 Redis,年终奖，定期体检，带薪年假，餐补，股票期权，五险一金，零食下午茶，全勤奖，交通补助，员工旅游，节日福利
Python爬虫工程师,北京·朝阳区·鸟巢,8-13K,1-3年本科,李勇Python采集组长,拓尔思,互联网已上市1000-9999人,网络爬虫技术,餐补，带薪年假，五险一金，交通补助，补充医疗保险，定期体检，通讯补贴
Python（业研）,北京·海淀区·西三旗,13-17K,1-3年本科,杨凡招聘专员,艾融软件,互联网已上市1000-9999人,网络爬虫技术 容器技术 服务器配置 Redis Django,加班补助，五险一金，员工旅游，带薪年假，交通补助，节日福利
python运维开发工程师,北京·朝阳区·望京,15-25K·14薪,3-5年本科,刘鹏运维经理,人人车,互联网D轮及以上1000-9999人,运维 自动化,节日福利，带薪年假，五险一金，餐补，定期体检，股票期权，加班补助，补充医疗保险，零食下午茶，年终奖
